system,node,rack,start_hours,end_hours,failure_type,root_cause
4,37,4,18.7194,18.8039,transient_node,Power Outage
4,93,11,40.4431,40.5145,transient_node,Network
4,93,11,87.0899,87.1099,transient_node,Power Outage
4,37,4,102.3375,107.6746,permanent_node,Disk Drive
4,114,14,131.6057,131.9012,transient_node,Power Spike
4,78,9,144.3049,144.4165,transient_node,Maintenance
4,106,13,171.4233,171.5589,transient_node,Network
4,98,12,208.0128,208.1282,transient_node,Power Spike
4,126,15,233.251,233.2964,transient_node,Power Spike
4,67,8,250.6593,251.2632,transient_node,Power Outage
4,36,4,265.9163,266.0476,transient_node,Power Spike
4,111,13,272.3336,273.5313,transient_node,Network
4,93,11,275.7735,275.927,transient_node,Power Spike
4,85,10,277.8941,277.9024,transient_node,Power Spike
4,36,4,280.9354,281.2329,transient_node,Maintenance
4,71,8,311.9568,312.4264,transient_node,Maintenance
4,77,9,349.4746,352.9555,permanent_node,Disk Drive
4,14,1,363.8065,363.845,transient_node,Power Outage
4,76,9,383.2432,383.792,transient_node,Power Spike
4,74,9,421.8578,421.9467,transient_node,Maintenance
4,83,10,430.526,431.8497,transient_node,Power Outage
4,51,6,445.0501,445.1097,transient_node,Power Outage
4,108,13,450.9192,451.0365,transient_node,Power Spike
4,122,15,451.8751,452.1887,transient_node,Maintenance
4,72,9,489.1644,489.3661,transient_node,Power Outage
4,117,14,510.2455,510.2923,transient_node,Maintenance
4,105,13,530.4834,530.5138,transient_node,Maintenance
4,30,3,550.3729,550.4524,transient_node,Power Spike
4,64,8,557.7277,558.039,transient_node,Maintenance
4,54,6,647.851,647.8677,transient_node,Maintenance
4,127,15,654.8428,654.9374,transient_node,Power Outage
4,103,12,667.2836,667.2944,transient_node,Power Outage
4,51,6,691.6719,691.8009,transient_node,Power Outage
4,35,4,712.2657,712.4483,transient_node,Maintenance
4,115,14,727.6754,728.2187,transient_node,Maintenance
4,18,2,758.5621,758.8405,transient_node,Maintenance
4,24,3,785.3871,785.6382,transient_node,Power Outage
4,106,13,789.9059,790.0124,transient_node,Power Outage
4,21,2,791.2616,791.2884,transient_node,Power Outage
