system,node,rack,start_hours,end_hours,failure_type,root_cause
14,520,16,2.7571,2.8278,transient_node,Maintenance
14,369,11,3.0846,3.2576,transient_node,Network
14,22,0,5.3237,5.4775,transient_node,Power Outage
14,721,22,8.5688,8.6837,transient_node,Network
14,970,30,10.8355,11.7947,transient_node,Network
14,380,11,14.9412,15.1728,transient_node,Maintenance
14,887,27,16.0884,16.6562,transient_node,Power Spike
14,652,20,22.538,22.9406,transient_node,Power Outage
14,1016,31,22.7674,22.7954,transient_node,Power Outage
14,452,14,24.6689,32.0086,permanent_node,Disk Drive
14,752,23,25.2159,25.7304,transient_node,Network
14,152,4,36.1443,36.259,transient_node,Network
14,235,7,36.3536,42.1448,permanent_node,SCSI Controller
14,802,25,37.2242,37.7474,transient_node,Network
14,794,24,40.4544,40.5456,transient_node,Power Spike
14,966,30,48.5872,48.9222,transient_node,Power Outage
14,588,18,49.0357,49.0591,transient_node,Maintenance
14,99,3,52.0463,52.0719,transient_node,Network
14,779,24,53.265,53.2707,transient_node,Maintenance
14,455,14,54.1981,54.4086,transient_node,Power Spike
14,508,15,60.456,60.873,transient_node,Network
14,398,12,65.383,65.4676,transient_node,Maintenance
14,769,24,74.0874,74.3147,transient_node,Network
14,388,12,75.9645,76.7986,transient_node,Maintenance
14,90,2,78.4002,82.0549,permanent_node,Disk Drive
14,236,7,81.07,81.2221,transient_node,Power Spike
14,232,7,82.0176,82.8632,transient_node,Power Outage
14,527,16,84.4164,84.8769,transient_node,Network
14,943,29,93.6033,93.6451,transient_node,Network
14,436,13,94.6637,94.7085,transient_node,Power Outage
14,901,28,95.0832,95.1512,transient_node,Maintenance
14,887,27,97.4011,97.5212,transient_node,Power Spike
14,182,5,101.9578,102.2256,transient_node,Power Outage
14,70,2,102.2162,102.2699,transient_node,Network
14,581,18,108.0341,108.3918,transient_node,Power Spike
14,392,12,112.1147,112.1548,transient_node,Power Outage
14,768,24,112.6618,112.8869,transient_node,Power Outage
14,974,30,118.674,119.0567,transient_node,Network
14,582,18,120.5651,120.7412,transient_node,Power Outage
14,211,6,121.2819,121.4138,transient_node,Power Outage
14,350,10,122.6363,123.0137,transient_node,Network
14,687,21,123.7704,131.4779,permanent_node,SCSI Controller
14,290,9,127.1491,127.2963,transient_node,Maintenance
14,698,21,127.3526,127.7638,transient_node,Power Outage
14,199,6,128.7394,128.9407,transient_node,Network
14,824,25,130.7945,131.0554,transient_node,Power Outage
14,797,24,135.4302,135.4723,transient_node,Network
14,59,1,137.6,138.9814,transient_node,Network
14,338,10,145.2168,145.3676,transient_node,Network
14,3,0,146.2554,146.508,transient_node,Network
14,1016,31,146.8915,147.5209,transient_node,Network
14,133,4,152.0797,152.2491,transient_node,Network
14,698,21,154.3591,154.812,transient_node,Maintenance
14,683,21,162.9405,163.3256,transient_node,Power Spike
14,894,27,165.5466,165.8452,transient_node,Power Spike
14,740,23,168.6599,168.6906,transient_node,Maintenance
14,886,27,172.1865,172.4454,transient_node,Power Outage
14,501,15,174.4024,174.8751,transient_node,Network
14,195,6,175.3686,175.375,transient_node,Power Outage
14,297,9,175.9495,176.463,transient_node,Power Spike
14,345,10,179.992,180.0396,transient_node,Power Spike
14,749,23,184.9722,185.1399,transient_node,Power Spike
14,393,12,187.0535,187.2433,transient_node,Power Spike
14,18,0,188.5869,188.7333,transient_node,Maintenance
14,403,12,190.4526,191.043,transient_node,Maintenance
14,632,19,190.6102,191.022,transient_node,Power Outage
14,185,5,200.1266,200.1793,transient_node,Network
14,815,25,202.977,203.1062,transient_node,Network
14,29,0,206.1436,206.3007,transient_node,Power Spike
14,497,15,223.8433,224.1035,transient_node,Power Spike
14,897,28,224.4006,224.4685,transient_node,Network
14,591,18,224.9159,225.2847,transient_node,Maintenance
14,69,2,227.3248,227.5026,transient_node,Maintenance
14,81,2,231.9598,231.9777,transient_node,Network
14,493,15,232.7132,232.7794,transient_node,Network
14,567,17,234.4744,234.6165,transient_node,Maintenance
14,130,4,242.06,242.0845,transient_node,Maintenance
14,45,1,245.8205,248.0121,permanent_node,Hardware
14,1014,31,245.9229,245.9629,transient_node,Power Outage
14,397,12,248.3975,248.9685,transient_node,Power Outage
14,592,18,249.2496,249.3567,transient_node,Power Outage
14,247,7,250.6007,250.9635,transient_node,Power Outage
14,331,10,250.8302,251.4659,transient_node,Network
14,157,4,255.0194,255.2169,transient_node,Power Outage
14,921,28,256.8249,256.9591,transient_node,Power Spike
14,550,17,257.9403,258.0307,transient_node,Power Spike
14,89,2,260.789,261.221,transient_node,Network
14,599,18,260.9481,262.3206,transient_node,Power Spike
14,625,19,261.037,261.6048,transient_node,Maintenance
14,451,14,262.247,262.3238,transient_node,Power Spike
14,519,16,262.7333,263.0256,transient_node,Power Outage
14,455,14,266.1313,266.3191,transient_node,Maintenance
14,863,26,268.2098,268.3992,transient_node,Network
14,332,10,269.3887,269.6869,transient_node,Power Outage
14,683,21,276.2368,276.3216,transient_node,Power Spike
14,541,16,277.556,277.6235,transient_node,Maintenance
14,901,28,279.6699,280.4471,transient_node,Maintenance
14,229,7,288.2773,288.8234,transient_node,Maintenance
14,292,9,290.8327,291.1076,transient_node,Power Outage
14,251,7,291.1565,291.1603,transient_node,Power Outage
14,69,2,294.1994,294.4112,transient_node,Maintenance
14,936,29,295.1978,295.2985,transient_node,Power Outage
14,325,10,295.3565,298.6669,permanent_node,Disk Drive
14,125,3,298.9563,299.0159,transient_node,Power Spike
14,383,11,302.3662,302.6611,transient_node,Power Spike
14,819,25,303.0825,303.1487,transient_node,Power Spike
14,151,4,303.5543,303.6207,transient_node,Power Outage
14,194,6,305.2995,305.333,transient_node,Power Outage
14,453,14,305.8723,306.1973,transient_node,Network
14,485,15,306.8434,307.3057,transient_node,Power Spike
14,408,12,308.0244,308.1737,transient_node,Power Spike
14,662,20,310.7164,310.732,transient_node,Network
14,511,15,313.5345,313.6245,transient_node,Power Spike
14,413,12,318.9009,318.9179,transient_node,Power Outage
14,443,13,325.0909,325.2935,transient_node,Maintenance
14,156,4,326.7899,327.4827,transient_node,Power Outage
14,284,8,330.9853,331.5691,transient_node,Maintenance
14,712,22,333.4929,334.1663,transient_node,Power Outage
14,1016,31,334.519,334.8327,transient_node,Maintenance
14,265,8,340.8638,340.9196,transient_node,Power Spike
14,398,12,343.4822,343.6716,transient_node,Maintenance
14,478,14,344.2381,344.4854,transient_node,Network
14,393,12,347.8753,348.1011,transient_node,Network
14,376,11,348.547,355.0301,permanent_node,SCSI Controller
14,332,10,359.2613,365.8159,permanent_node,Disk Drive
14,767,23,359.5288,361.7945,permanent_node,SCSI Controller
14,822,25,364.6713,365.2535,transient_node,Maintenance
14,656,20,376.9443,376.9714,transient_node,Network
14,877,27,378.5527,378.6337,transient_node,Maintenance
14,448,14,380.7179,380.9614,transient_node,Maintenance
14,85,2,380.7567,381.0144,transient_node,Network
14,343,10,384.693,384.7051,transient_node,Maintenance
14,166,5,385.7869,386.0642,transient_node,Network
14,832,26,386.1175,386.3816,transient_node,Power Spike
14,41,1,388.9993,389.1764,transient_node,Network
14,358,11,390.8549,390.944,transient_node,Power Outage
14,957,29,392.7826,392.9164,transient_node,Power Outage
14,934,29,393.3078,393.8994,transient_node,Power Spike
14,499,15,394.2912,394.5217,transient_node,Power Outage
14,244,7,394.6376,394.6841,transient_node,Power Outage
14,107,3,396.8151,396.9512,transient_node,Maintenance
14,288,9,399.4497,400.0303,transient_node,Power Outage
14,903,28,410.3785,410.4231,transient_node,Maintenance
14,425,13,413.5707,414.4993,transient_node,Network
14,522,16,414.9317,415.0811,transient_node,Power Outage
14,880,27,419.0648,422.1686,permanent_node,Hardware
14,20,0,419.9362,420.1854,transient_node,Maintenance
14,844,26,420.2789,421.5788,transient_node,Power Outage
14,100,3,421.4354,421.494,transient_node,Power Outage
14,839,26,424.0317,424.1789,transient_node,Power Spike
14,234,7,427.9822,428.0582,transient_node,Power Spike
14,1010,31,431.465,431.7002,transient_node,Power Spike
14,185,5,435.4589,435.9009,transient_node,Power Outage
14,519,16,439.025,439.2619,transient_node,Power Spike
14,354,11,443.5427,443.6177,transient_node,Power Spike
14,314,9,446.7484,447.5499,transient_node,Maintenance
14,244,7,448.4072,448.9098,transient_node,Maintenance
14,826,25,448.9301,449.3491,transient_node,Network
14,15,0,450.852,451.1648,transient_node,Power Spike
14,234,7,454.5273,455.1732,transient_node,Network
14,210,6,454.7215,455.1522,transient_node,Maintenance
14,686,21,454.8343,454.8474,transient_node,Power Spike
14,246,7,455.8148,455.9907,transient_node,Power Spike
14,214,6,457.3401,457.3413,transient_node,Power Outage
14,6,0,457.4067,457.9603,transient_node,Power Spike
14,860,26,459.5781,460.131,transient_node,Power Outage
14,50,1,470.8676,470.975,transient_node,Power Outage
14,322,10,471.5124,471.7802,transient_node,Maintenance
14,618,19,471.731,471.7406,transient_node,Network
14,1011,31,473.3406,473.4856,transient_node,Maintenance
14,733,22,475.4346,475.5117,transient_node,Network
14,397,12,475.5583,479.0928,permanent_node,Disk Drive
14,1014,31,476.2764,476.4729,transient_node,Power Outage
14,801,25,476.3394,476.4797,transient_node,Power Outage
14,874,27,488.2509,488.485,transient_node,Power Outage
14,480,15,488.7982,496.5655,permanent_node,Hardware
14,846,26,489.6853,489.8357,transient_node,Network
14,845,26,494.3349,495.173,transient_node,Maintenance
14,944,29,496.4446,496.6474,transient_node,Network
14,712,22,500.3975,500.6025,transient_node,Power Outage
14,943,29,501.2259,501.933,transient_node,Maintenance
14,649,20,505.9062,506.3992,transient_node,Network
14,220,6,511.2178,518.4292,permanent_node,Disk Drive
14,591,18,513.4261,513.559,transient_node,Maintenance
14,76,2,518.2915,518.305,transient_node,Power Outage
14,702,21,518.4153,518.9337,transient_node,Power Spike
14,907,28,522.0856,522.331,transient_node,Maintenance
14,742,23,526.9315,527.2236,transient_node,Power Spike
14,786,24,527.9273,527.9376,transient_node,Power Spike
14,63,1,529.154,529.3463,transient_node,Network
14,818,25,536.086,536.1148,transient_node,Power Spike
14,437,13,536.3097,536.4281,transient_node,Network
14,943,29,537.0278,537.104,transient_node,Power Spike
14,351,10,546.4129,546.9541,transient_node,Power Outage
14,1004,31,547.864,548.2697,transient_node,Maintenance
14,758,23,548.5338,548.6089,transient_node,Power Spike
14,407,12,548.7441,548.8315,transient_node,Power Spike
14,820,25,551.7794,556.6821,permanent_node,SCSI Controller
14,341,10,555.4071,555.6537,transient_node,Power Outage
14,28,0,557.8158,558.0669,transient_node,Power Spike
14,844,26,561.1954,561.3734,transient_node,Network
14,990,30,562.5401,562.6238,transient_node,Maintenance
14,163,5,562.9609,563.2683,transient_node,Power Spike
14,970,30,567.0103,567.3501,transient_node,Power Outage
14,740,23,567.8054,567.866,transient_node,Power Outage
14,645,20,569.5719,569.7653,transient_node,Power Outage
14,680,21,569.614,569.6867,transient_node,Power Spike
14,877,27,571.214,571.2178,transient_node,Network
14,1023,31,577.2333,577.3712,transient_node,Power Spike
14,888,27,582.2289,583.1478,transient_node,Power Outage
14,428,13,583.833,584.1925,transient_node,Power Outage
14,396,12,588.0416,588.6409,transient_node,Maintenance
14,959,29,589.4258,589.7095,transient_node,Power Outage
14,223,6,592.3074,593.3015,transient_node,Network
14,92,2,594.4224,594.5645,transient_node,Network
14,293,9,597.9643,598.0316,transient_node,Power Spike
14,913,28,598.0997,598.4348,transient_node,Power Outage
14,424,13,599.0418,599.4434,transient_node,Network
14,301,9,601.9348,602.4791,transient_node,Power Outage
14,686,21,602.2119,602.4338,transient_node,Power Outage
14,219,6,603.2118,603.8042,transient_node,Network
14,303,9,605.4274,605.4304,transient_node,Power Outage
14,760,23,605.4601,605.5673,transient_node,Maintenance
14,428,13,607.1632,607.1874,transient_node,Network
14,998,31,609.0701,609.4348,transient_node,Network
14,974,30,609.3877,609.4466,transient_node,Maintenance
14,502,15,610.2494,610.4853,transient_node,Power Spike
14,221,6,611.004,611.1171,transient_node,Power Spike
14,814,25,611.4494,611.4624,transient_node,Power Spike
14,369,11,613.6388,613.7467,transient_node,Power Outage
14,120,3,623.3323,623.3608,transient_node,Network
14,780,24,625.2935,625.6089,transient_node,Power Outage
14,120,3,625.4502,625.5246,transient_node,Maintenance
14,153,4,634.3793,634.4711,transient_node,Maintenance
14,1005,31,642.2715,642.4628,transient_node,Power Outage
14,856,26,650.048,650.2475,transient_node,Maintenance
14,301,9,654.4668,654.8544,transient_node,Power Spike
14,274,8,655.4234,655.43,transient_node,Maintenance
14,373,11,660.1721,660.2304,transient_node,Network
14,291,9,660.8579,661.1779,transient_node,Power Outage
14,670,20,661.0411,661.1991,transient_node,Power Outage
14,687,21,663.4559,663.7635,transient_node,Network
14,793,24,671.0014,671.1666,transient_node,Network
14,392,12,671.4015,671.6321,transient_node,Power Outage
14,563,17,671.8129,671.8407,transient_node,Network
14,865,27,683.5226,683.7682,transient_node,Network
14,340,10,686.0959,686.1428,transient_node,Power Spike
14,925,28,688.1715,688.1896,transient_node,Network
14,678,21,692.7654,693.579,transient_node,Maintenance
14,326,10,697.3282,697.3919,transient_node,Maintenance
