system,node,rack,start_hours,end_hours,failure_type,root_cause
7,30,3,23.335,23.9725,transient_node,Power Outage
7,86,10,51.9786,52.1711,transient_node,Power Spike
7,30,3,51.9948,52.1144,transient_node,Power Spike
7,105,13,53.4008,53.6351,transient_node,Maintenance
7,47,5,54.0458,54.2428,transient_node,Maintenance
7,173,21,58.3059,58.4434,transient_node,Network
7,87,10,95.7584,96.1067,transient_node,Maintenance
7,113,14,102.0795,102.1364,transient_node,Maintenance
7,140,17,114.134,114.1464,transient_node,Maintenance
7,3,0,125.1867,125.3125,transient_node,Network
7,164,20,130.8219,131.1172,transient_node,Maintenance
7,122,15,138.8404,138.9453,transient_node,Power Outage
7,80,10,145.3487,145.4008,transient_node,Power Spike
7,20,2,161.1427,163.8627,permanent_node,Disk Drive
7,211,26,165.1874,165.4008,transient_node,Power Spike
7,145,18,176.0765,176.2121,transient_node,Power Outage
7,74,9,176.5403,176.5809,transient_node,Maintenance
7,36,4,185.1756,185.8037,transient_node,Maintenance
7,48,6,187.1826,187.3442,transient_node,Power Outage
7,14,1,187.722,188.2917,transient_node,Power Spike
7,24,3,195.7897,195.8944,transient_node,Power Spike
7,241,30,199.5306,199.9319,transient_node,Power Spike
7,76,9,205.7753,206.0622,transient_node,Power Outage
7,125,15,208.3962,208.7865,transient_node,Network
7,1,0,210.9091,211.1103,transient_node,Power Outage
7,141,17,216.4733,216.4961,transient_node,Power Spike
7,121,15,235.6342,235.8629,transient_node,Network
7,91,11,269.6564,269.6714,transient_node,Power Spike
7,184,23,280.8031,280.8084,transient_node,Network
7,75,9,285.534,285.6253,transient_node,Power Spike
7,158,19,286.4813,286.5849,transient_node,Network
7,36,4,314.4784,314.5339,transient_node,Power Spike
7,27,3,342.5508,342.6129,transient_node,Maintenance
7,212,26,344.4259,344.8887,transient_node,Power Outage
7,44,5,370.446,370.4906,transient_node,Maintenance
7,228,28,390.2843,390.5134,transient_node,Power Spike
7,218,27,421.0566,426.8945,permanent_node,SCSI Controller
7,77,9,421.9672,422.1493,transient_node,Power Outage
7,203,25,441.236,441.347,transient_node,Maintenance
7,56,7,464.6883,464.7959,transient_node,Network
7,20,2,465.8987,465.9968,transient_node,Maintenance
7,192,24,478.911,479.5265,transient_node,Network
7,234,29,507.4653,507.717,transient_node,Power Spike
7,244,30,509.1036,509.233,transient_node,Network
7,227,28,515.9913,516.0075,transient_node,Power Spike
7,146,18,524.5988,524.604,transient_node,Power Spike
7,216,27,526.3828,526.6943,transient_node,Power Spike
7,16,2,528.4513,528.7132,transient_node,Network
7,119,14,532.2248,532.3689,transient_node,Maintenance
7,165,20,533.2368,533.2415,transient_node,Power Outage
7,58,7,547.0334,547.5441,transient_node,Network
7,169,21,548.4092,549.0213,transient_node,Power Outage
7,99,12,554.1715,554.4042,transient_node,Maintenance
7,108,13,554.5428,554.7743,transient_node,Power Spike
7,69,8,567.1681,567.4879,transient_node,Power Spike
7,209,26,575.453,575.6181,transient_node,Power Outage
7,110,13,584.556,584.8499,transient_node,Power Spike
7,26,3,619.9977,620.3938,transient_node,Maintenance
7,111,13,620.9453,621.4143,transient_node,Network
7,243,30,634.578,634.9442,transient_node,Maintenance
7,41,5,643.2965,644.1822,transient_node,Maintenance
7,101,12,662.7318,662.8716,transient_node,Power Outage
7,149,18,686.5468,687.3517,transient_node,Maintenance
7,120,15,708.8623,709.0551,transient_node,Maintenance
7,61,7,715.8277,716.2722,transient_node,Power Outage
7,176,22,743.3512,743.365,transient_node,Power Spike
7,26,3,754.5844,754.6286,transient_node,Maintenance
7,42,5,763.213,763.638,transient_node,Network
7,101,12,802.8221,802.9153,transient_node,Maintenance
7,138,17,805.4046,805.7929,transient_node,Network
7,58,7,807.9066,808.0978,transient_node,Power Outage
7,235,29,812.9391,812.9846,transient_node,Network
7,219,27,855.303,855.4315,transient_node,Maintenance
7,59,7,864.4975,864.5604,transient_node,Network
7,87,10,875.3867,875.4398,transient_node,Network
7,181,22,918.3873,918.5109,transient_node,Maintenance
7,199,24,929.4008,929.4649,transient_node,Network
7,224,28,950.6264,950.7166,transient_node,Power Spike
7,12,1,1002.2424,1002.3938,transient_node,Maintenance
7,48,6,1018.6833,1018.7629,transient_node,Network
7,95,11,1036.4845,1036.7409,transient_node,Network
7,56,7,1089.6812,1089.9041,transient_node,Power Outage
7,219,27,1099.8925,1100.125,transient_node,Power Spike
7,169,21,1101.1362,1101.1804,transient_node,Power Outage
7,146,18,1123.4397,1123.4497,transient_node,Power Spike
7,241,30,1129.8286,1129.8908,transient_node,Network
7,147,18,1147.0374,1147.1902,transient_node,Power Outage
7,56,7,1165.3557,1165.6486,transient_node,Power Spike
7,83,10,1183.8191,1183.8217,transient_node,Power Spike
7,10,1,1196.3205,1196.3603,transient_node,Power Outage
7,173,21,1209.5752,1209.645,transient_node,Power Spike
7,112,14,1216.2026,1216.2325,transient_node,Power Outage
7,74,9,1220.7852,1220.9993,transient_node,Maintenance
7,39,4,1227.554,1227.7318,transient_node,Maintenance
7,154,19,1244.5915,1245.1693,transient_node,Maintenance
7,204,25,1246.0735,1246.1197,transient_node,Power Spike
7,3,0,1272.1265,1272.177,transient_node,Power Outage
7,29,3,1302.1176,1302.1551,transient_node,Maintenance
7,169,21,1329.605,1329.7449,transient_node,Power Spike
7,134,16,1333.179,1333.3302,transient_node,Network
7,9,1,1344.5113,1344.5687,transient_node,Power Spike
7,96,12,1361.2722,1361.373,transient_node,Power Outage
7,217,27,1391.2174,1391.4742,transient_node,Power Spike
7,18,2,1398.4431,1398.4941,transient_node,Power Spike
7,232,29,1398.8591,1398.9435,transient_node,Maintenance
7,61,7,1408.4449,1408.8059,transient_node,Power Outage
7,181,22,1422.3204,1422.9352,transient_node,Power Outage
7,102,12,1452.6571,1452.8131,transient_node,Maintenance
7,119,14,1466.6657,1466.7425,transient_node,Power Spike
7,81,10,1467.3334,1467.9637,transient_node,Maintenance
7,90,11,1471.2787,1471.2854,transient_node,Power Outage
7,143,17,1473.5648,1473.7868,transient_node,Power Spike
7,44,5,1488.7122,1488.8991,transient_node,Power Outage
7,183,22,1523.3803,1523.4146,transient_node,Network
7,132,16,1526.6952,1527.287,transient_node,Power Outage
7,69,8,1540.9515,1541.8042,transient_node,Power Spike
7,238,29,1545.4322,1545.4985,transient_node,Maintenance
7,32,4,1549.93,1549.9585,transient_node,Power Outage
7,227,28,1552.8534,1552.9444,transient_node,Network
7,25,3,1559.0732,1559.2826,transient_node,Power Spike
7,253,31,1565.507,1565.5668,transient_node,Network
7,235,29,1572.268,1572.3104,transient_node,Power Spike
7,214,26,1576.9131,1577.0121,transient_node,Power Outage
7,243,30,1578.1599,1578.3373,transient_node,Power Spike
7,126,15,1591.3595,1591.4172,transient_node,Power Outage
7,188,23,1612.0688,1612.3207,transient_node,Maintenance
7,2,0,1612.6798,1612.7492,transient_node,Maintenance
7,122,15,1624.2221,1624.2393,transient_node,Maintenance
7,230,28,1625.4296,1625.5775,transient_node,Network
7,97,12,1640.4689,1640.7826,transient_node,Power Spike
7,116,14,1641.1851,1642.1357,transient_node,Power Outage
